LotArea,YearBuilt,SalePrice,Age
8450,2003,208500,15
9600,1976,181500,42
11250,2001,223500,17
9550,1915,140000,103
14260,2000,250000,18
14115,1993,143000,25
10084,2004,307000,14
10382,1973,200000,45
6120,1931,129900,87
7420,1939,118000,79
11200,1965,129500,53
11924,2005,345000,13
12968,1962,144000,56
10652,2006,279500,12
10920,1960,157000,58
6120,1929,132000,89
11241,1970,149000,48
10791,1967,90000,51
13695,2004,159000,14
7560,1958,139000,60
14215,2005,325300,13
7449,1930,139400,88
9742,2002,230000,16
4224,1976,129900,42
8246,1968,154000,50
14230,2007,256300,11
7200,1951,134800,67
11478,2007,306000,11
16321,1957,207500,61
6324,1927,68500,91
8500,1920,40000,98
8544,1966,149350,52
11049,2007,179900,11
10552,1959,165500,59
7313,2005,277500,13
13418,2004,309000,14
10859,1994,145000,24
8532,1954,153000,64
7922,1953,109000,65
6040,1955,82000,63
8658,1965,160000,53
16905,1959,170000,59
9180,1983,144000,35
9200,1975,130250,43
7945,1959,141000,59
7658,2005,319900,13
12822,2003,239686,15
11096,2006,249700,12
4456,1920,113000,98
7742,1966,127000,52
13869,1997,177000,21
6240,1934,114500,84
8472,1963,110000,55
50271,1981,385000,37
7134,1955,130000,63
10175,1964,180500,54
2645,1999,172500,19
11645,2004,196500,14
13682,2006,438780,12
7200,1972,124900,46
13072,2004,158000,14
7200,1920,101000,98
6442,2006,202500,12
10300,1921,140000,97
9375,1997,219500,21
9591,2004,317000,14
19900,1970,180000,48
10665,2003,226000,15
4608,1945,80000,73
15593,1953,225000,65
13651,1973,244000,45
7599,1982,129500,36
10141,1998,185000,20
10200,1954,144900,64
5790,1915,107400,103
1596,1973,91000,45
8475,1956,135750,62
8635,1948,127000,70
10778,1968,136500,50
10440,1910,110000,108
13000,1968,193500,50
4500,1998,153500,20
10206,2007,245000,11
8892,1960,126500,58
8530,1995,168500,23
16059,1991,260000,27
11911,2005,174000,13
3951,2009,164500,9
8470,1915,85000,103
8070,1994,123600,24
7200,1950,109900,68
8500,1961,98600,57
13360,1921,163500,97
7200,1910,133900,108
9337,1997,204750,21
9765,1993,185000,25
10264,1999,214000,19
10921,1965,94750,53
10625,1920,83000,98
